fold,accuracy,precision,recall,f1
1,0.43137254901960786,0.5268889329020048,0.43137254901960786,0.4120744955615489
2,0.477124183006536,0.5825410972469796,0.477124183006536,0.468262595180211
3,0.4117647058823529,0.4931794827246612,0.4117647058823529,0.39288543357984324
4,0.45751633986928103,0.544334338658624,0.45751633986928103,0.4498526119849649
5,0.3684210526315789,0.3902726346685918,0.3684210526315789,0.34387792824194924
